"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Chroococcidiopsaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,29,0,0,0,0,0,0
"Chthoniobacteraceae",0,0,0,0,0,20,0,0,0,35,0,34,0,0,21,0,0,0,51,0,36,0,37,0,0,16,0,0,0,0,0,0,0,0,73,137,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
"Clade_III",0,37,3,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,76,0,0,0,0,25,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0
"Clostridiaceae",0,0,48,0,0,0,102,0,0,46,0,0,0,0,82,0,64,0,0,52,0,0,49,0,0,52,46,0,25,10,0,43,0,0,0,36,0,31,81,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,38,21,0,0,0,9
"Colwelliaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonadaceae",155,71,0,0,249,162,97,0,0,293,107,60,0,0,0,0,0,0,79,147,0,187,204,0,52,0,150,71,72,0,117,156,149,0,182,0,0,0,61,109,122,117,0,121,0,0,85,48,0,0,247,0,0,0,157,0,111,0,0,45,0,0,0,0,72,0,68,16,0,38,0,0,0
"Coriobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacteriaceae",0,34,0,0,0,0,59,0,0,0,0,0,0,0,0,99,0,0,0,130,126,0,36,0,0,41,0,57,0,0,0,0,81,0,0,0,30,0,94,68,0,0,15,60,0,0,58,83,164,0,68,0,0,0,77,81,0,68,104,77,0,0,0,65,32,0,110,0,0,0,121,0,0
"CPla-3_termite_group",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Criblamydiaceae",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crocinitomicaceae",0,36,0,0,0,0,0,0,0,120,114,0,0,0,137,0,39,0,57,67,0,0,0,44,0,0,154,107,24,0,43,0,71,0,54,0,66,0,74,41,0,0,0,0,0,0,106,0,0,0,0,0,0,18,0,0,35,12,0,0,0,0,0,0,0,0,0,81,0,0,12,0,0
"Cryomorphaceae",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cryptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyanobiaceae",0,58,109,29,0,64,51,0,0,267,268,162,0,0,166,160,124,0,90,64,112,0,110,257,0,0,140,113,56,0,67,75,71,0,50,67,31,0,111,0,0,0,0,0,0,0,112,0,117,0,0,0,0,0,0,0,0,60,86,0,0,0,20,0,128,0,39,49,0,0,0,0,0
"Cyclobacteriaceae",0,0,52,0,0,32,59,0,12,56,134,16,0,0,0,0,49,0,0,0,0,0,0,0,0,18,10,42,24,0,14,25,0,0,0,54,8,0,0,11,7,22,29,12,29,35,42,12,0,0,12,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytophagaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D05-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defluviitaleaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deinococcaceae",0,31,0,0,0,0,0,13,0,27,30,0,0,21,0,0,29,0,0,0,64,0,43,0,0,10,0,33,59,0,0,0,39,0,0,36,0,0,0,96,0,4,0,17,0,7,0,0,0,0,39,27,322,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,0,17
"Dermabacteraceae",0,0,0,0,0,0,0,0,99,0,0,67,0,45,0,0,0,76,0,0,169,0,0,0,0,222,18,46,0,453,0,0,0,0,0,0,6,283,0,0,0,0,0,0,0,47,0,0,107,0,41,35,0,0,0,0,0,0,0,0,85,0,0,13,0,0,0,0,0,0,0,0,0
"Dermacoccaceae",0,0,0,0,0,0,0,0,87,0,0,42,0,194,0,0,46,87,0,50,148,38,0,0,0,149,0,0,22,1528,0,0,0,0,0,0,7,577,0,0,0,0,0,0,0,170,18,0,0,117,47,73,259,62,0,0,0,93,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0
"Dermatophilaceae",0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfitobacteriaceae",0,0,38,0,0,0,0,0,0,0,0,36,0,0,0,0,29,0,0,0,0,0,0,52,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dethiobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Devosiaceae",39,0,24,10,0,27,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,28,0,10,30,0,0,0,0,35,0,29,0,0,0,48,0,0,0,0,0,11,33,0,12,0,0,0,0,40,0,77,0,0,64,0,0,0,46,0,0,24,8,7,0,0,0
"Dietziaceae",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0
"Diplorickettsiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
