tax	50w_0	50w_1	50w_2	50w_3	90w_0	90w_1	90w_2	90w_3	120w_0	120w_1	120w_2	120w_3
JG30-KF-CM45	0.001757727	0.002113048	0.011141046	0.011924792	0.001415626	0	0.003408374	0.005218844	0.001508616	0.00214996	0.006194874	0.003661004
Kineosporiaceae	0.002644885	0.001146789	0.001239669	0.01982399	0.000832553	0.005699686	0.00145479	0.002896239	0	0.003871842	0.010802379	0.01055302
Ktedonobacteraceae	0.018331137	0.018972144	0.080825823	0.033696447	0.006773524	0.012795261	0.017590443	0.023649833	0.011425167	0.022905944	0.014660807	0.025719938
Lachnospiraceae	0.00180857	0.01871223	0.005735316	0.002534562	0	0.010316613	0.005358824	0.006087309	0	0.008268064	0.008090615	0.007472645
Lactobacillaceae	0.002722676	0.001453958	0.002716653	0.010223027	0	0.005108557	0	0.003008971	0	0.003567447	0.007556142	0.011938794
LiUU-11-161	0	0.000792393	0	0.00015361	0	0.008893632	0.002439651	0.000352063	0	0.002417848	0	0
LWQ8	0.000244499	0	0	0	0.000277624	0	0	0	0.000357914	0	0	0.001266503
Methylophilaceae	0.051960266	0.027290797	0.019424353	0.011144202	0.019026587	0.019563997	0.023560541	0.019509418	0.063419558	0.029083849	0.003452549	0.009506194
Microbacteriaceae	0.129017555	0.038021022	0.049824577	0.055379664	0.162825294	0.026029263	0.031298852	0.116341019	0.086570015	0.022921437	0.044449507	0.042894079
Micrococcaceae	0.05075838	0.029373718	0.02755551	0.035189281	0.04324993	0.030271995	0.032679283	0.016651205	0.02410984	0.010451106	0.071913881	0.046916498
Microcystaceae	0	0.044879254	0.04323528	0.041718304	0.003304194	0.054893026	0.028360552	0.035293349	0.021010213	0.08893481	0.031351806	0.047966583
Micromonosporaceae	0.003213026	0	0.01560555	0.003765794	0.001847036	0.00147929	0.00102474	0.001085945	0.000304288	0.001791633	0.008773362	0.005994624
Microscillaceae	0	0.025151468	0.017813812	0.012329083	0	0.020786364	0.001244327	0.002600322	0	0.030803012	0.007101896	0.011491066
Microtrichaceae	0	0	0	0.001141038	0	0.000568958	0	0	0.000107677	0.001881215	0	0.000849515
Moraxellaceae	0.00207009	0.005348653	0.003443166	0.008856689	0.00359781	0.015388885	0.020170806	0.001743375	0.002774702	0.019332053	0.010935856	0.004963749
Mycobacteriaceae	0.005035852	0.005253821	0.012618962	0.007650256	0.00665047	0	0.009516247	0.008698263	0.004391264	0.005685619	0.009725534	0.011976694
Myxococcaceae	0	0.001293422	0	0.001991109	0	0	0	0.002673893	0	0	0.001887471	0.002813673
Nakamurellaceae	0.001677422	0.011738847	0.007446974	0.01049323	0.003593663	0.015913365	0.019724066	0.016522974	0.003289057	0.009665127	0.014746698	0.002973396
Nitrosomonadaceae	9.78E-05	0	0.004489419	0.000413691	0	0.003982704	0	0	3.59E-05	0.004713988	0.000689077	0.000432259
Nitrososphaeraceae	0.001555815	0.001970929	0	0.00049613	0.000556793	0	0	0.000492888	0	0.000940607	0	0
Nocardiaceae	0.002647811	0.010448479	0.015910372	0.007628978	0.00949473	0.00070028	0.011206252	0.003013355	0.013418778	0.012501124	0.017571753	0.015934447
Nocardioidaceae	0.01112332	0.026461418	0.01519273	0.028046543	0.007712316	0.002428558	0.027427161	0.015130917	0.013350818	0.03193958	0.028707145	0.014606934
Nostocaceae	0	0.001656473	0.003320557	0.007300413	0.000260132	0.004768638	0.003547828	0.00274397	0.000191939	0.001315213	0.001566099	0.005050884
NS11-12_marine_group	0	0.010625523	0.017682764	0.005489336	0	0.00070028	0	0.000985707	0.00092285	0.023755857	0.010508211	0.009981182
NS9_marine_group	0.000350058	0.004726198	0.001652893	0	0	0.000910332	0.001715906	0.00698433	0.000276855	0.007470506	0.001556663	0.006077312
