"","MG_A0","MG_A1","MG_A2","MG_A3","MG_B0","MG_B1","MG_B2","MG_B3","MG_C0","MG_C1","MG_C2","MG_C3","MG_Ct_qPCR_pos_zymo","MG_E0","MG_E1","MG_E2","MG_E3","MG_F0","MG_F1","MG_F2","MG_F3","MG_G0","MG_G1","MG_G2","MG_G3","MG_I0","MG_I1","MG_I2","MG_I3","MG_J0","MG_J1","MG_J2","MG_J3","MG_K0","MG_K1","MG_K2","MG_K3","MG_L0","MG_L1","MG_L2","MG_L3","MG_M0","MG_M1","MG_M2","MG_M3","MG_N0","MG_N1","MG_N2","MG_N3","MG_O0","MG_O1","MG_O2","MG_O3","MG_P0","MG_P1","MG_P2","MG_P3","MG_Q0","MG_Q1","MG_Q2","MG_Q3","MG_R0","MG_R1","MG_R2","MG_R3","MG_S0","MG_S1","MG_S2","MG_S3","MG_T0","MG_T1","MG_T2","MG_T3"
"Advenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365853658536585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromicrobium",0.0015196124988128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339663424424888,0,0,0,0,0,0.0117489090298758,0,0,0,0,0,0,0,0,0.0196766023767777,0.0324989020641195,0,0,0.00439932318104907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148720999405116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas",0.002849273435274,0.00268610897927859,0,0,0,0.00687442713107241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00272744983440483,0,0,0,0,0,0,0,0,0,0.00269703326341025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aestuariimicrobium",0,0,0,0,0,0,0,0,0,0,0,0.00289174046629315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Afipia",0,0,0,0,0,0,0.00497607655502392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00455864069622876,0,0,0,0,0,0,0,0,0,0.00147792351745797,0,0,0,0,0,0,0,0,0,0,0,0.003662109375,0,0,0.00311125415727926,0,0,0,0,0.0220820189274448,0.0302056555269923,0,0,0,0,0,0,0,0,0,0,0,0.0211714890613973,0,0
"Agathobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776287932251235,0,0
"Agrococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246710526315789,0,0,0.0162011173184358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKYG587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00674684658257554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algoriphagus",0,0,0.0127403846153846,0,0,0.0077910174152154,0.011866028708134,0,0.00644468313641246,0.0140401839748245,0.0377882745207002,0.00307247424543647,0,0,0,0,0.00756523081673614,0,0,0.0020711080428029,0,0,0,0,0,0.00415845918144014,0.00361794500723589,0.00891007045171985,0.0071599045346062,0,0.00751476113794954,0.00526008182349503,0,0,0,0.00846023688663283,0.00411184210526316,0.00184740439682246,0,0.00335195530726257,0.00467914438502674,0.0034462091699131,0.0348977135980746,0.00375637241749396,0.0119617224880383,0.00507544581618656,0.0136010362694301,0.00902255639097744,0,0,0.00356930398572278,0,0,0,0,0.0290474156343443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
